City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
421,Vardo,NO,70.37,31.11,35.24,85,31,16.93,light rain
422,Tshela,CD,-4.98,12.93,73.24,96,100,1.61,heavy intensity rain
423,Karratha,AU,-20.74,116.85,91.6,41,66,11.5,broken clouds
424,Barcelos,PT,41.54,-8.62,53.01,100,10,5.82,clear sky
425,Charlestown,AU,-32.95,151.67,102.0,23,46,17.22,scattered clouds
426,Khasan,RU,42.43,130.64,26.13,80,0,22.91,clear sky
427,Zhovtneve,UA,50.66,24.25,35.56,88,94,8.25,overcast clouds
428,Goundam,ML,16.41,-3.67,71.01,22,44,6.6,scattered clouds
429,Souillac,MU,-20.52,57.52,73.4,83,40,10.29,shower rain
430,Cockburn Town,TC,21.46,-71.14,78.55,74,22,14.56,few clouds
431,La Seyne-Sur-Mer,FR,43.1,5.88,60.01,78,100,15.99,light rain
432,Kargasok,RU,59.06,80.86,3.27,94,7,6.22,clear sky
433,Anadyr,RU,64.75,177.48,23.0,79,0,17.9,clear sky
434,Ponta Delgada,PT,37.73,-25.67,55.4,54,75,17.22,broken clouds
435,Havelock,US,34.88,-76.9,60.01,92,75,7.34,broken clouds
436,Malatya,TR,38.5,38.0,30.2,86,75,3.36,broken clouds
437,Poronaysk,RU,49.22,143.12,22.14,87,28,1.97,scattered clouds
438,Majene,ID,-3.54,118.97,86.23,60,99,4.18,overcast clouds
439,Dicabisagan,PH,17.08,122.42,78.94,84,100,13.56,moderate rain
440,Yar-Sale,RU,66.83,70.83,2.62,94,0,8.57,clear sky
441,Sibu,MY,2.3,111.82,78.8,88,40,4.7,light rain
442,Isfana,KG,39.84,69.53,32.0,95,90,20.13,shower snow
443,Qui Nhon,VN,13.77,109.23,76.71,89,100,21.18,moderate rain
444,Urdoma,RU,61.75,48.54,11.71,96,0,4.9,clear sky
445,Moron,AR,-34.65,-58.62,78.01,57,0,6.93,clear sky
446,Janauba,BR,-15.8,-43.31,69.71,79,99,8.75,overcast clouds
447,Kavieng,PG,-2.57,150.8,82.69,79,100,15.26,moderate rain
448,Kembe,CF,4.62,21.89,75.76,51,82,3.38,broken clouds
449,Dingle,PH,11.0,122.67,84.18,77,67,12.71,light rain
450,Juneau,US,58.3,-134.42,34.0,100,75,3.44,fog
451,Kasangulu,CD,-4.59,15.17,71.6,94,75,1.86,broken clouds
452,Camocim,BR,-2.9,-40.84,79.77,78,4,12.03,clear sky
453,Esfarayen,IR,37.08,57.51,28.4,92,20,2.24,few clouds
454,Miri,MY,4.41,114.01,78.8,88,40,9.17,scattered clouds
455,Timra,SE,62.49,17.33,28.99,92,0,3.36,clear sky
456,Makaha,US,21.47,-158.22,75.2,83,90,8.05,overcast clouds
457,Cidreira,BR,-30.18,-50.21,71.15,90,98,17.07,overcast clouds
458,Saposoa,PE,-6.93,-76.77,78.8,83,20,2.24,moderate rain
459,San Carlos De Bariloche,AR,-41.15,-71.31,51.8,62,20,20.8,few clouds
460,Pangkalanbuun,ID,-2.68,111.62,84.85,67,75,4.68,broken clouds
461,Batemans Bay,AU,-35.72,150.18,93.0,43,100,8.99,overcast clouds
462,Bundaberg,AU,-24.85,152.35,84.99,42,5,11.41,clear sky
463,Alihe,CN,50.57,123.72,14.74,79,0,6.49,clear sky
464,Fort Nelson,CA,58.81,-122.7,12.2,92,20,2.24,few clouds
465,Puerto Escondido,MX,15.85,-97.07,82.4,74,5,4.16,clear sky
466,Bogovinje,MK,41.92,20.91,23.0,92,0,2.82,mist
467,Odweyne,SO,9.41,45.06,69.12,77,21,4.03,few clouds
468,Yumen,CN,40.28,97.2,20.79,80,71,3.91,broken clouds
469,Muriti,TZ,-1.98,32.92,74.59,68,60,8.77,moderate rain
470,Benguela,AO,-12.58,13.41,76.3,83,100,4.83,light rain
471,Camapua,BR,-19.53,-54.04,78.03,51,6,2.77,clear sky
472,Namanga,KE,-2.54,36.79,66.02,88,53,7.11,broken clouds
473,Carrickfergus,GB,54.72,-5.81,42.01,86,99,2.24,overcast clouds
474,Valparaiso,CL,-33.04,-71.63,53.6,93,2,6.93,clear sky
475,Lingao,CN,19.91,109.69,71.8,70,3,16.69,clear sky
476,Inta,RU,66.03,60.17,7.68,94,0,3.62,clear sky
477,Hofn,IS,64.25,-15.21,37.67,75,1,20.8,clear sky
478,Arlit,NE,18.74,7.39,70.11,25,0,3.8,clear sky
479,Goure,NE,13.98,10.27,73.0,24,0,5.01,clear sky
480,Vestmannaeyjar,IS,63.44,-20.27,38.55,72,99,28.92,light snow
481,Kondinskoye,RU,59.65,67.41,6.96,95,45,4.99,scattered clouds
482,Padang,ID,-0.95,100.35,79.84,73,99,5.41,light rain
483,Avera,US,33.19,-82.53,59.0,77,1,1.92,clear sky
484,Marfino,RU,55.7,37.38,34.0,98,90,4.47,light rain
485,Haldensleben,DE,52.29,11.41,41.0,10,22,4.16,few clouds
486,San-Pedro,CI,4.75,-6.64,75.85,88,48,2.62,light rain
487,Koslan,RU,63.46,48.9,13.1,96,20,4.59,few clouds
488,Yaan,NG,7.38,8.57,75.63,80,0,5.39,clear sky
489,Jiutai,CN,44.15,125.83,8.6,78,0,6.71,clear sky
490,Cap Malheureux,MU,-19.98,57.61,73.99,80,0,5.01,light rain
491,Tianpeng,CN,30.99,103.94,52.0,1,100,5.26,overcast clouds
492,Vershino-Shakhtaminskiy,RU,51.3,117.89,2.41,88,0,2.13,clear sky
493,Tatvan,TR,38.51,42.28,33.26,86,86,5.53,overcast clouds
494,Pendleton,US,45.67,-118.79,43.0,70,1,8.66,clear sky
495,Mengcheng,CN,33.26,116.57,41.07,68,100,6.08,overcast clouds
496,Mezen,RU,65.85,44.24,17.38,96,98,6.31,overcast clouds
497,Gualaquiza,EC,-3.4,-78.55,64.67,84,99,1.19,overcast clouds
498,Tagusao,PH,9.19,117.81,85.19,67,46,3.15,light rain
499,Uchiza,PE,-8.46,-76.46,74.28,76,98,2.33,moderate rain
500,General Roca,AR,-39.03,-67.58,75.2,29,0,8.05,clear sky
501,Itaituba,BR,-4.28,-55.98,76.62,82,87,2.68,overcast clouds
